,datetime,cellid,value
304,2024-05-14 14:30:00,2,180.31
305,2024-05-14 14:30:00,3,127.96
306,2024-05-14 14:45:00,1001,0.0
307,2024-05-14 14:45:00,1002,0.0
308,2024-05-14 14:45:00,1003,41.88
309,2024-05-14 14:45:00,1,130.47
310,2024-05-14 14:45:00,2,121.88
311,2024-05-14 14:45:00,3,62.57
312,2024-05-14 14:30:00,1001,0.0
313,2024-05-14 14:30:00,1002,0.0
314,2024-05-14 14:30:00,1003,0.0
315,2024-05-14 14:30:00,1,144.42
316,2024-05-14 14:30:00,2,180.31
317,2024-05-14 14:30:00,3,127.96
318,2024-05-14 14:45:00,1001,0.0
319,2024-05-14 14:45:00,1002,0.0
320,2024-05-14 14:45:00,1003,41.88
321,2024-05-14 14:45:00,1,130.47
322,2024-05-14 14:45:00,2,121.88
323,2024-05-14 14:45:00,3,62.57
324,2024-05-14 14:30:00,1001,0.0
325,2024-05-14 14:30:00,1002,0.0
326,2024-05-14 14:30:00,1003,0.0
327,2024-05-14 14:30:00,1,144.42
328,2024-05-14 14:30:00,2,180.31
329,2024-05-14 14:30:00,3,127.96
330,2024-05-14 14:45:00,1001,0.0
331,2024-05-14 14:45:00,1002,0.0
332,2024-05-14 14:45:00,1003,41.88
333,2024-05-14 14:45:00,1,130.47
334,2024-05-14 14:45:00,2,121.88
335,2024-05-14 14:45:00,3,62.57
336,2024-05-14 14:30:00,1001,0.0
337,2024-05-14 14:30:00,1002,0.0
338,2024-05-14 14:30:00,1003,0.0
339,2024-05-14 14:30:00,1,144.42
340,2024-05-14 14:30:00,2,180.31
341,2024-05-14 14:30:00,3,127.96
342,2024-05-14 14:45:00,1001,0.0
343,2024-05-14 14:45:00,1002,0.0
344,2024-05-14 14:45:00,1003,41.88
345,2024-05-14 14:45:00,1,130.47
346,2024-05-14 14:45:00,2,121.88
347,2024-05-14 14:45:00,3,62.57
348,2024-05-14 14:30:00,1001,0.0
349,2024-05-14 14:30:00,1002,0.0
350,2024-05-14 14:30:00,1003,0.0
351,2024-05-14 14:30:00,1,144.42
352,2024-05-14 14:30:00,2,180.31
353,2024-05-14 14:30:00,3,127.96
354,2024-05-14 14:45:00,1001,0.0
355,2024-05-14 14:45:00,1002,0.0
356,2024-05-14 14:45:00,1003,41.88
357,2024-05-14 14:45:00,1,130.47
358,2024-05-14 14:45:00,2,121.88
359,2024-05-14 14:45:00,3,62.57
360,2024-05-14 14:30:00,1001,0.0
361,2024-05-14 14:30:00,1002,0.0
362,2024-05-14 14:30:00,1003,0.0
363,2024-05-14 14:30:00,1,144.42
364,2024-05-14 14:30:00,2,180.31
365,2024-05-14 14:30:00,3,127.96
366,2024-05-14 14:45:00,1001,0.0
367,2024-05-14 14:45:00,1002,0.0
368,2024-05-14 14:45:00,1003,41.88
369,2024-05-14 14:45:00,1,130.47
370,2024-05-14 14:45:00,2,121.88
371,2024-05-14 14:45:00,3,62.57
372,2024-05-14 14:30:00,1001,0.0
373,2024-05-14 14:30:00,1002,0.0
374,2024-05-14 14:30:00,1003,0.0
375,2024-05-14 14:30:00,1,144.42
376,2024-05-14 14:30:00,2,180.31
377,2024-05-14 14:30:00,3,127.96
378,2024-05-14 14:45:00,1001,0.0
379,2024-05-14 14:45:00,1002,0.0
380,2024-05-14 14:45:00,1003,41.88
381,2024-05-14 14:45:00,1,130.47
382,2024-05-14 14:45:00,2,121.88
383,2024-05-14 14:45:00,3,62.57
384,2024-05-14 14:30:00,1001,0.0
385,2024-05-14 14:30:00,1002,0.0
386,2024-05-14 14:30:00,1003,0.0
387,2024-05-14 14:30:00,1,144.42
388,2024-05-14 14:30:00,2,180.31
389,2024-05-14 14:30:00,3,127.96
390,2024-05-14 14:45:00,1001,0.0
391,2024-05-14 14:45:00,1002,0.0
392,2024-05-14 14:45:00,1003,41.88
393,2024-05-14 14:45:00,1,130.47
394,2024-05-14 14:45:00,2,121.88
395,2024-05-14 14:45:00,3,62.57
396,2024-05-14 14:30:00,1001,0.0
397,2024-05-14 14:30:00,1002,0.0
398,2024-05-14 14:30:00,1003,0.0
399,2024-05-14 14:30:00,1,144.42
400,2024-05-14 14:30:00,2,180.31
401,2024-05-14 14:30:00,3,127.96
402,2024-05-14 14:45:00,1001,0.0
403,2024-05-14 14:45:00,1002,0.0
404,2024-05-14 14:45:00,1003,41.88
405,2024-05-14 14:45:00,1,130.47
406,2024-05-14 14:45:00,2,121.88
407,2024-05-14 14:45:00,3,62.57
408,2024-05-14 14:30:00,1001,0.0
409,2024-05-14 14:30:00,1002,0.0
410,2024-05-14 14:30:00,1003,0.0
411,2024-05-14 14:30:00,1,144.42
412,2024-05-14 14:30:00,2,180.31
413,2024-05-14 14:30:00,3,127.96
414,2024-05-14 14:45:00,1001,0.0
415,2024-05-14 14:45:00,1002,0.0
416,2024-05-14 14:45:00,1003,41.88
417,2024-05-14 14:45:00,1,130.47
418,2024-05-14 14:45:00,2,121.88
419,2024-05-14 14:45:00,3,62.57
420,2024-05-14 14:30:00,1001,0.0
421,2024-05-14 14:30:00,1002,0.0
422,2024-05-14 14:30:00,1003,0.0
423,2024-05-14 14:30:00,1,144.42
424,2024-05-14 14:30:00,2,180.31
425,2024-05-14 14:30:00,3,127.96
426,2024-05-14 14:45:00,1001,0.0
427,2024-05-14 14:45:00,1002,0.0
428,2024-05-14 14:45:00,1003,41.88
429,2024-05-14 14:45:00,1,130.47
430,2024-05-14 14:45:00,2,121.88
431,2024-05-14 14:45:00,3,62.57
432,2024-05-14 14:30:00,1001,0.0
433,2024-05-14 14:30:00,1002,0.0
434,2024-05-14 14:30:00,1003,0.0
435,2024-05-14 14:30:00,1,144.42
436,2024-05-14 14:30:00,2,180.31
437,2024-05-14 14:30:00,3,127.96
438,2024-05-14 14:45:00,1001,0.0
439,2024-05-14 14:45:00,1002,0.0
440,2024-05-14 14:45:00,1003,41.88
441,2024-05-14 14:45:00,1,130.47
442,2024-05-14 14:45:00,2,121.88
443,2024-05-14 14:45:00,3,62.57
444,2024-05-14 14:30:00,1001,0.0
445,2024-05-14 14:30:00,1002,0.0
446,2024-05-14 14:30:00,1003,0.0
447,2024-05-14 14:30:00,1,144.42
448,2024-05-14 14:30:00,2,180.31
449,2024-05-14 14:30:00,3,127.96
450,2024-05-14 14:45:00,1001,0.0
451,2024-05-14 14:45:00,1002,0.0
452,2024-05-14 14:45:00,1003,41.88
453,2024-05-14 14:45:00,1,130.47
454,2024-05-14 14:45:00,2,121.88
455,2024-05-14 14:45:00,3,62.57
456,2024-05-14 14:30:00,1001,0.0
457,2024-05-14 14:30:00,1002,0.0
458,2024-05-14 14:30:00,1003,0.0
459,2024-05-14 14:30:00,1,144.42
460,2024-05-14 14:30:00,2,180.31
461,2024-05-14 14:30:00,3,127.96
462,2024-05-14 14:45:00,1001,0.0
463,2024-05-14 14:45:00,1002,0.0
464,2024-05-14 14:45:00,1003,41.88
465,2024-05-14 14:45:00,1,130.47
466,2024-05-14 14:45:00,2,121.88
467,2024-05-14 14:45:00,3,62.57
468,2024-05-14 14:30:00,1001,0.0
469,2024-05-14 14:30:00,1002,0.0
470,2024-05-14 14:30:00,1003,0.0
471,2024-05-14 14:30:00,1,144.42
472,2024-05-14 14:30:00,2,180.31
473,2024-05-14 14:30:00,3,127.96
474,2024-05-14 14:45:00,1001,0.0
475,2024-05-14 14:45:00,1002,0.0
476,2024-05-14 14:45:00,1003,41.88
477,2024-05-14 14:45:00,1,130.47
478,2024-05-14 14:45:00,2,121.88
479,2024-05-14 14:45:00,3,62.57
480,2024-05-14 14:30:00,1001,0.0
481,2024-05-14 14:30:00,1002,0.0
482,2024-05-14 14:30:00,1003,0.0
483,2024-05-14 14:30:00,1,144.42
484,2024-05-14 14:30:00,2,180.31
485,2024-05-14 14:30:00,3,127.96
486,2024-05-14 14:45:00,1001,0.0
487,2024-05-14 14:45:00,1002,0.0
488,2024-05-14 14:45:00,1003,41.88
489,2024-05-14 14:45:00,1,130.47
490,2024-05-14 14:45:00,2,121.88
491,2024-05-14 14:45:00,3,62.57
492,2024-05-14 14:30:00,1001,0.0
493,2024-05-14 14:30:00,1002,0.0
494,2024-05-14 14:30:00,1003,0.0
495,2024-05-14 14:30:00,1,144.42
496,2024-05-14 14:30:00,2,180.31
497,2024-05-14 14:30:00,3,127.96
498,2024-05-14 14:45:00,1001,0.0
499,2024-05-14 14:45:00,1002,0.0
500,2024-05-14 14:45:00,1003,41.88
501,2024-05-14 14:45:00,1,130.47
502,2024-05-14 14:45:00,2,121.88
503,2024-05-14 14:45:00,3,62.57
504,2024-05-14 14:30:00,1001,0.0
505,2024-05-14 14:30:00,1002,0.0
506,2024-05-14 14:30:00,1003,0.0
507,2024-05-14 14:30:00,1,144.42
508,2024-05-14 14:30:00,2,180.31
509,2024-05-14 14:30:00,3,127.96
510,2024-05-14 14:45:00,1001,0.0
511,2024-05-14 14:45:00,1002,0.0
512,2024-05-14 14:45:00,1003,41.88
513,2024-05-14 14:45:00,1,130.47
514,2024-05-14 14:45:00,2,121.88
515,2024-05-14 14:45:00,3,62.57
516,2024-05-14 14:30:00,1001,0.0
517,2024-05-14 14:30:00,1002,0.0
518,2024-05-14 14:30:00,1003,0.0
519,2024-05-14 14:30:00,1,144.42
520,2024-05-14 14:30:00,2,180.31
521,2024-05-14 14:30:00,3,127.96
522,2024-05-14 14:45:00,1001,0.0
523,2024-05-14 14:45:00,1002,0.0
524,2024-05-14 14:45:00,1003,41.88
525,2024-05-14 14:45:00,1,130.47
526,2024-05-14 14:45:00,2,121.88
527,2024-05-14 14:45:00,3,62.57
528,2024-05-14 14:30:00,1001,0.0
529,2024-05-14 14:30:00,1002,0.0
530,2024-05-14 14:30:00,1003,0.0
531,2024-05-14 14:30:00,1,144.42
532,2024-05-14 14:30:00,2,180.31
533,2024-05-14 14:30:00,3,127.96
534,2024-05-14 14:45:00,1001,0.0
535,2024-05-14 14:45:00,1002,0.0
536,2024-05-14 14:45:00,1003,41.88
537,2024-05-14 14:45:00,1,130.47
538,2024-05-14 14:45:00,2,121.88
539,2024-05-14 14:45:00,3,62.57
540,2024-05-14 14:30:00,1001,0.0
541,2024-05-14 14:30:00,1002,0.0
542,2024-05-14 14:30:00,1003,0.0
